,OpCode,Family,Genus,Species,Treatment,Precision..mm.,Activity,Fish.ID,School.Individual,Length..mm.,Length..m.,Time,Speed,Length.FID,Measurements
1,LIZARD1_CAM10_RIG2,Haemulidae,Plectorhinchus,albovittatus,Turtle,NA,no response,Turtle 1,Individual,0,0,3,0,speed.prior.1,0
2,LIZARD1_CAM11_RIG1,Haemulidae,Plectorhinchus,chrysotaenia,Pipe,NA,no response,Pipe 1,Individual,0,0,3,0,speed.prior.1,0
3,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,sp,Pipe,5.453,hide,Pipe 1a,School,268.719,0.268719,3,0.089573,speed.prior.1,0.089573
4,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,sp,Pipe,8.26,C- turn,Pipe 1b,School,163.155,0.163155,3,0.054385,speed.prior.1,0.054385
5,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,Pipe,3.207,hide,Pipe 2,Individual,171.675,0.171675,3,0.057225,speed.prior.1,0.057225
6,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,sp,Turtle,3.12,hide,Turtle 1a,School,26.807,0.026807,3,0.008935667,speed.prior.1,0.008935667
7,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,sp,Turtle,3.631,hide,Turtle 1b,School,88.221,0.088221,3,0.029407,speed.prior.1,0.029407
8,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,sp,Turtle,8.188,hide,Turtle 1c,School,70.713,0.070713,2,0.0353565,speed.prior.1,0.0353565
9,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,fulviflamma,Perspex,NA,no response,Perspex 2,Individual,0,0,3,0,speed.prior.1,0
10,LIZARD1_CAM2_RIG3,Lutjanidae,Lutjanus,sp,Perspex,NA,no response,Perspex 3a,School,0,0,3,0,speed.prior.1,0
11,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Diver,5.462,hide,Diver 1,Individual,158.586,0.158586,3,0.052862,speed.prior.1,0.052862
12,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Diver,4.758,hide,Diver 3b,School,57.635,0.057635,3,0.019211667,speed.prior.1,0.019211667
13,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,fulviflamma,Pipe,8.852,hide,Pipe 2,Individual,111.759,0.111759,3,0.037253,speed.prior.1,0.037253
14,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Pipe,4.876,hide,Pipe 3a,School,96.31,0.09631,3,0.032103333,speed.prior.1,0.032103333
15,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Pipe,6.682,hide,Pipe 3c,School,191.041,0.191041,3,0.063680333,speed.prior.1,0.063680333
16,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,fulviflamma,Turtle,3.915,flight,Turtle 2,Individual,52.692,0.052692,3,0.017564,speed.prior.1,0.017564
17,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Perspex,NA,no response,Perspex 1,Individual,0,0,3,0,speed.prior.1,0
18,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,fulviflamma,Perspex,NA,no response,Perspex 2,Individual,0,0,3,0,speed.prior.1,0
19,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Perspex,NA,no response,Perspex 3a,School,0,0,3,0,speed.prior.1,0
20,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Perspex,NA,no response,Perspex 3b,School,0,0,3,0,speed.prior.1,0
21,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Perspex,NA,no response,Perspex 3c,School,0,0,3,0,speed.prior.1,0
22,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,fulviflamma,Diver,NA,hide,Diver 2,Individual,0,0,3,0,speed.prior.1,0
23,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Diver,NA,hide,Diver 3a,School,0,0,3,0,speed.prior.1,0
24,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Pipe,NA,no response,Pipe 1,Individual,0,0,3,0,speed.prior.1,0
25,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Pipe,NA,hide,Pipe 3b,School,NA,NA,NA,NA,speed.prior.1,NA
26,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,fulviflamma,Shark,NA,flight,Shark 2,Individual,0,0,3,0,speed.prior.1,0
27,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Shark,NA,hide,Shark 3a,School,0,0,3,0,speed.prior.1,0
28,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Shark,NA,hide,Shark 3b,School,0,0,3,0,speed.prior.1,0
29,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,sp,Turtle,NA,no response,Turtle 1,Individual,0,0,3,0,speed.prior.1,0
30,LIZARD1_CAM4_RIG2,Lutjanidae,Lutjanus,carponotatus,Turtle,NA,C- turn,Turtle 3,Individual,0,0,3,0,speed.prior.1,0
31,LIZARD1_CAM5_RIG3,Lutjanidae,Lutjanus,sp,Perspex,5.754,no response,Perspex 1,Individual,57.65,0.05765,1,0.05765,speed.prior.1,0.05765
32,LIZARD1_CAM5_RIG3,Lutjanidae,Lutjanus,sp,Diver,3.402,hide,Diver 1,Individual,39.49,0.03949,3,0.013163333,speed.prior.1,0.013163333
33,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulvus,Perspex,28.376,flight,Perspex 1,Individual,229.593,0.229593,3,0.076531,speed.prior.1,0.076531
34,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,Diver,NA,hide,Diver 1,Individual,0,0,1,0,speed.prior.1,0
35,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,Diver,NA,hide,Diver 2,Individual,0,0,1,0,speed.prior.1,0
36,LIZARD1_CAM6_RIG1,Haemulidae,Diagramma,pictum,Pipe,NA,flight,Pipe 2,Individual,0,0,1,0,speed.prior.1,0
37,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,Shark,NA,flight,Shark 2,Individual,0,0,1,0,speed.prior.1,0
38,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulvus,Shark,NA,flight,Shark 1,Individual,0,0,1,0,speed.prior.1,0
39,LIZARD1_CAM6_RIG1,Lutjanidae,Lutjanus,fulviflamma,Turtle,NA,no response,Turtle 1b,Individual,0,0,1,0,speed.prior.1,0
40,LIZARD1_CAM5_RIG3,Lutjanidae,Lutjanus,sp,Perspex,NA,no response,Perspex 2,Individual,0,0,1,0,speed.prior.1,0
41,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Perspex,21.996,flight,Perspex 1,Individual,704.892,0.704892,3,0.234964,speed.prior.1,0.234964
42,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Pipe,21.095,flight,Pipe 1,Individual,218.12,0.21812,3,0.072706667,speed.prior.1,0.072706667
43,LIZARD2_CAM2_RIG1,Lutjanidae,Lutjanus,carponotatus,Diver,8.274,C- turn,Diver 1,Individual,129.943,0.129943,3,0.043314333,speed.prior.1,0.043314333
44,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Diver,NA,flight,Diver 2,Individual,0,0,3,0,speed.prior.1,0
45,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Diver,NA,flight,Diver 3,Individual,0,0,3,0,speed.prior.1,0
46,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Diver,NA,C- turn,Diver 4,Individual,0,0,3,0,speed.prior.1,0
48,LIZARD2_CAM2_RIG1,Lutjanidae,Lutjanus,fulvus,Perspex,NA,C- turn,Perspex 2,Individual,0,0,3,0,speed.prior.1,0
49,LIZARD2_CAM2_RIG1,Haemulidae,Diagramma,pictum,Pipe,NA,C- turn,Pipe 2,Individual,0,0,3,0,speed.prior.1,0
